date,BlkCnt,blocks_cum,height_eod
2009-01-03,0.0,0,-1
2009-01-04,0.0,0,-1
2009-01-05,0.0,0,-1
2009-01-06,0.0,0,-1
2009-01-07,0.0,0,-1
2009-01-08,0.0,0,-1
2009-01-09,19.0,19,18
2009-01-10,61.0,80,79
2009-01-11,93.0,173,172
2009-01-12,94.0,267,266
2009-01-13,123.0,390,389
2009-01-14,129.0,519,518
2009-01-15,126.0,645,644
2009-01-16,108.0,753,752
2009-01-17,109.0,862,861
2009-01-18,107.0,969,968
2009-01-19,115.0,1084,1083
2009-01-20,114.0,1198,1197
2009-01-21,102.0,1300,1299
2009-01-22,91.0,1391,1390
2009-01-23,84.0,1475,1474
2009-01-24,201.0,1676,1675
2009-01-25,191.0,1867,1866
2009-01-26,96.0,1963,1962
2009-01-27,97.0,2060,2059
2009-01-28,112.0,2172,2171
2009-01-29,121.0,2293,2292
2009-01-30,117.0,2410,2409
2009-01-31,138.0,2548,2547
2009-02-01,113.0,2661,2660
2009-02-02,128.0,2789,2788
2009-02-03,139.0,2928,2927
2009-02-04,119.0,3047,3046
2009-02-05,126.0,3173,3172
2009-02-06,122.0,3295,3294
2009-02-07,129.0,3424,3423
2009-02-08,132.0,3556,3555
2009-02-09,134.0,3690,3689
2009-02-10,120.0,3810,3809
2009-02-11,133.0,3943,3942
2009-02-12,119.0,4062,4061
2009-02-13,124.0,4186,4185
2009-02-14,136.0,4322,4321
2009-02-15,128.0,4450,4449
2009-02-16,122.0,4572,4571
2009-02-17,117.0,4689,4688
2009-02-18,118.0,4807,4806
2009-02-19,124.0,4931,4930
2009-02-20,122.0,5053,5052
2009-02-21,114.0,5167,5166
2009-02-22,121.0,5288,5287
2009-02-23,108.0,5396,5395
2009-02-24,106.0,5502,5501
2009-02-25,105.0,5607,5606
2009-02-26,107.0,5714,5713
2009-02-27,115.0,5829,5828
2009-02-28,99.0,5928,5927
2009-03-01,105.0,6033,6032
2009-03-02,108.0,6141,6140
2009-03-03,105.0,6246,6245
2009-03-04,104.0,6350,6349
2009-03-05,112.0,6462,6461
2009-03-06,117.0,6579,6578
2009-03-07,109.0,6688,6687
2009-03-08,115.0,6803,6802
2009-03-09,108.0,6911,6910
2009-03-10,107.0,7018,7017
2009-03-11,114.0,7132,7131
2009-03-12,118.0,7250,7249
2009-03-13,113.0,7363,7362
2009-03-14,110.0,7473,7472
2009-03-15,123.0,7596,7595
2009-03-16,121.0,7717,7716
2009-03-17,114.0,7831,7830
2009-03-18,114.0,7945,7944
2009-03-19,122.0,8067,8066
2009-03-20,118.0,8185,8184
2009-03-21,50.0,8235,8234
2009-03-22,119.0,8354,8353
2009-03-23,130.0,8484,8483
2009-03-24,105.0,8589,8588
2009-03-25,117.0,8706,8705
2009-03-26,117.0,8823,8822
2009-03-27,106.0,8929,8928
2009-03-28,119.0,9048,9047
2009-03-29,116.0,9164,9163
2009-03-30,120.0,9284,9283
2009-03-31,110.0,9394,9393
2009-04-01,114.0,9508,9507
2009-04-02,115.0,9623,9622
2009-04-03,116.0,9739,9738
2009-04-04,113.0,9852,9851
2009-04-05,130.0,9982,9981
2009-04-06,109.0,10091,10090
2009-04-07,100.0,10191,10190
2009-04-08,105.0,10296,10295
2009-04-09,99.0,10395,10394
2009-04-10,108.0,10503,10502
2009-04-11,120.0,10623,10622
2009-04-12,118.0,10741,10740
2009-04-13,115.0,10856,10855
2009-04-14,124.0,10980,10979
2009-04-15,113.0,11093,11092
2009-04-16,123.0,11216,11215
2009-04-17,112.0,11328,11327
2009-04-18,126.0,11454,11453
2009-04-19,119.0,11573,11572
2009-04-20,119.0,11692,11691
2009-04-21,123.0,11815,11814
2009-04-22,121.0,11936,11935
2009-04-23,75.0,12011,12010
2009-04-24,115.0,12126,12125
2009-04-25,118.0,12244,12243
2009-04-26,112.0,12356,12355
2009-04-27,104.0,12460,12459
2009-04-28,117.0,12577,12576
2009-04-29,128.0,12705,12704
2009-04-30,131.0,12836,12835
2009-05-01,121.0,12957,12956
2009-05-02,126.0,13083,13082
2009-05-03,106.0,13189,13188
2009-05-04,128.0,13317,13316
2009-05-05,135.0,13452,13451
2009-05-06,135.0,13587,13586
2009-05-07,122.0,13709,13708
2009-05-08,107.0,13816,13815
2009-05-09,78.0,13894,13893
2009-05-10,85.0,13979,13978
2009-05-11,120.0,14099,14098
2009-05-12,130.0,14229,14228
2009-05-13,111.0,14340,14339
2009-05-14,139.0,14479,14478
2009-05-15,136.0,14615,14614
2009-05-16,119.0,14734,14733
2009-05-17,127.0,14861,14860
2009-05-18,118.0,14979,14978
2009-05-19,86.0,15065,15064
2009-05-20,120.0,15185,15184
2009-05-21,82.0,15267,15266
2009-05-22,61.0,15328,15327
2009-05-23,32.0,15360,15359
2009-05-24,100.0,15460,15459
2009-05-25,109.0,15569,15568
2009-05-26,125.0,15694,15693
2009-05-27,119.0,15813,15812
2009-05-28,95.0,15908,15907
2009-05-29,106.0,16014,16013
2009-05-30,109.0,16123,16122
2009-05-31,96.0,16219,16218
2009-06-01,71.0,16290,16289
2009-06-02,111.0,16401,16400
2009-06-03,71.0,16472,16471
2009-06-04,66.0,16538,16537
2009-06-05,30.0,16568,16567
2009-06-06,28.0,16596,16595
2009-06-07,16.0,16612,16611
2009-06-08,82.0,16694,16693
2009-06-09,91.0,16785,16784
2009-06-10,82.0,16867,16866
2009-06-11,89.0,16956,16955
2009-06-12,86.0,17042,17041
2009-06-13,78.0,17120,17119
2009-06-14,72.0,17192,17191
2009-06-15,84.0,17276,17275
2009-06-16,71.0,17347,17346
2009-06-17,79.0,17426,17425
2009-06-18,80.0,17506,17505
2009-06-19,87.0,17593,17592
2009-06-20,78.0,17671,17670
2009-06-21,81.0,17752,17751
2009-06-22,76.0,17828,17827
2009-06-23,76.0,17904,17903
2009-06-24,95.0,17999,17998
2009-06-25,68.0,18067,18066
2009-06-26,90.0,18157,18156
2009-06-27,84.0,18241,18240
2009-06-28,46.0,18287,18286
2009-06-29,83.0,18370,18369
2009-06-30,85.0,18455,18454
2009-07-01,74.0,18529,18528
2009-07-02,83.0,18612,18611
2009-07-03,82.0,18694,18693
2009-07-04,89.0,18783,18782
2009-07-05,79.0,18862,18861
2009-07-06,84.0,18946,18945
2009-07-07,69.0,19015,19014
2009-07-08,74.0,19089,19088
2009-07-09,86.0,19175,19174
2009-07-10,81.0,19256,19255
2009-07-11,83.0,19339,19338
2009-07-12,77.0,19416,19415
2009-07-13,78.0,19494,19493
2009-07-14,69.0,19563,19562
2009-07-15,45.0,19608,19607
2009-07-16,71.0,19679,19678
2009-07-17,47.0,19726,19725
2009-07-18,4.0,19730,19729
2009-07-19,70.0,19800,19799
2009-07-20,70.0,19870,19869
2009-07-21,82.0,19952,19951
2009-07-22,60.0,20012,20011
2009-07-23,76.0,20088,20087
2009-07-24,73.0,20161,20160
2009-07-25,32.0,20193,20192
2009-07-26,21.0,20214,20213
2009-07-27,74.0,20288,20287
2009-07-28,41.0,20329,20328
2009-07-29,19.0,20348,20347
2009-07-30,15.0,20363,20362
2009-07-31,17.0,20380,20379
2009-08-01,28.0,20408,20407
2009-08-02,23.0,20431,20430
2009-08-03,12.0,20443,20442
2009-08-04,81.0,20524,20523
2009-08-05,87.0,20611,20610
2009-08-06,90.0,20701,20700
2009-08-07,80.0,20781,20780
2009-08-08,80.0,20861,20860
2009-08-09,101.0,20962,20961
2009-08-10,75.0,21037,21036
2009-08-11,70.0,21107,21106
2009-08-12,63.0,21170,21169
2009-08-13,85.0,21255,21254
2009-08-14,63.0,21318,21317
2009-08-15,26.0,21344,21343
2009-08-16,19.0,21363,21362
2009-08-17,17.0,21380,21379
2009-08-18,10.0,21390,21389
2009-08-19,18.0,21408,21407
2009-08-20,22.0,21430,21429
2009-08-21,14.0,21444,21443
2009-08-22,7.0,21451,21450
2009-08-23,15.0,21466,21465
2009-08-24,15.0,21481,21480
2009-08-25,50.0,21531,21530
2009-08-26,48.0,21579,21578
2009-08-27,29.0,21608,21607
2009-08-28,75.0,21683,21682
2009-08-29,78.0,21761,21760
2009-08-30,97.0,21858,21857
2009-08-31,86.0,21944,21943
2009-09-01,78.0,22022,22021
2009-09-02,66.0,22088,22087
2009-09-03,61.0,22149,22148
2009-09-04,64.0,22213,22212
2009-09-05,76.0,22289,22288
2009-09-06,68.0,22357,22356
2009-09-07,78.0,22435,22434
2009-09-08,69.0,22504,22503
2009-09-09,54.0,22558,22557
2009-09-10,67.0,22625,22624
2009-09-11,67.0,22692,22691
2009-09-12,69.0,22761,22760
2009-09-13,75.0,22836,22835
2009-09-14,74.0,22910,22909
2009-09-15,44.0,22954,22953
2009-09-16,72.0,23026,23025
2009-09-17,84.0,23110,23109
2009-09-18,78.0,23188,23187
2009-09-19,74.0,23262,23261
2009-09-20,78.0,23340,23339
2009-09-21,69.0,23409,23408
2009-09-22,25.0,23434,23433
2009-09-23,36.0,23470,23469
2009-09-24,97.0,23567,23566
2009-09-25,91.0,23658,23657
2009-09-26,100.0,23758,23757
2009-09-27,87.0,23845,23844
2009-09-28,85.0,23930,23929
2009-09-29,88.0,24018,24017
2009-09-30,85.0,24103,24102
2009-10-01,82.0,24185,24184
2009-10-02,72.0,24257,24256
2009-10-03,58.0,24315,24314
2009-10-04,53.0,24368,24367
2009-10-05,55.0,24423,24422
2009-10-06,43.0,24466,24465
2009-10-07,60.0,24526,24525
2009-10-08,70.0,24596,24595
2009-10-09,79.0,24675,24674
2009-10-10,77.0,24752,24751
2009-10-11,74.0,24826,24825
2009-10-12,58.0,24884,24883
2009-10-13,57.0,24941,24940
2009-10-14,69.0,25010,25009
2009-10-15,71.0,25081,25080
2009-10-16,60.0,25141,25140
2009-10-17,57.0,25198,25197
2009-10-18,74.0,25272,25271
2009-10-19,112.0,25384,25383
2009-10-20,95.0,25479,25478
2009-10-21,80.0,25559,25558
2009-10-22,90.0,25649,25648
2009-10-23,89.0,25738,25737
2009-10-24,62.0,25800,25799
2009-10-25,76.0,25876,25875
2009-10-26,71.0,25947,25946
2009-10-27,64.0,26011,26010
2009-10-28,66.0,26077,26076
2009-10-29,46.0,26123,26122
2009-10-30,60.0,26183,26182
2009-10-31,46.0,26229,26228
2009-11-01,25.0,26254,26253
2009-11-02,33.0,26287,26286
2009-11-03,62.0,26349,26348
2009-11-04,63.0,26412,26411
2009-11-05,57.0,26469,26468
2009-11-06,62.0,26531,26530
2009-11-07,69.0,26600,26599
2009-11-08,73.0,26673,26672
