date,T10Y2Y
2001-09-30,1.74
2001-12-31,2.0
2002-03-31,1.7
2002-06-30,1.96
2002-09-30,1.91
2002-12-31,2.22
2003-03-31,2.32
2003-06-30,2.22
2003-09-30,2.46
2003-12-31,2.43
2004-03-31,2.26
2004-06-30,1.92
2004-09-30,1.51
2004-12-31,1.16
2005-03-31,0.7
2005-06-30,0.28
2005-09-30,0.16
2005-12-31,-0.02
2006-03-31,0.04
2006-06-30,-0.01
2006-09-30,-0.07
2006-12-31,-0.11
2007-03-31,0.07
2007-06-30,0.16
2007-09-30,0.62
2007-12-31,0.99
2008-03-31,1.83
2008-06-30,1.36
2008-09-30,1.85
2008-12-31,1.49
2009-03-31,1.9
2009-06-30,2.42
2009-09-30,2.36
2009-12-31,2.71
2010-03-31,2.82
2010-06-30,2.36
2010-09-30,2.11
2010-12-31,2.69
2011-03-31,2.67
2011-06-30,2.73
2011-09-30,1.67
2011-12-31,1.64
2012-03-31,1.9
2012-06-30,1.34
2012-09-30,1.42
2012-12-31,1.53
2013-03-31,1.62
2013-06-30,2.16
2013-09-30,2.31
2013-12-31,2.66
2014-03-31,2.29
2014-06-30,2.06
2014-09-30,1.94
2014-12-31,1.5
2015-03-31,1.38
2015-06-30,1.71
2015-09-30,1.42
2015-12-31,1.21
2016-03-31,1.05
2016-06-30,0.91
2016-09-30,0.83
2016-12-31,1.25
2017-03-31,1.13
2017-06-30,0.93
2017-09-30,0.86
2017-12-31,0.51
2018-03-31,0.47
2018-06-30,0.33
2018-09-30,0.24
2018-12-31,0.21
2019-03-31,0.14
2019-06-30,0.25
2019-09-30,0.05
2019-12-31,0.34
2020-03-31,0.47
2020-06-30,0.5
2020-09-30,0.56
2020-12-31,0.8
2021-03-31,1.58
2021-06-30,1.2
2021-09-30,1.24
2021-12-31,0.79
2022-03-31,0.04
2022-06-30,0.06
2022-09-30,-0.39
2022-12-31,-0.53
2023-03-31,-0.58
2023-06-30,-1.06
2023-09-30,-0.44
2023-12-31,-0.35
2024-03-31,-0.39
2024-06-30,-0.35
2024-09-30,0.15
2024-12-31,0.33
2025-03-31,0.34
2025-06-30,0.52
2025-09-30,0.56
2025-12-31,0.71
2026-03-31,0.51
2026-04-30,0.4
